	0
Khudai Khidmatgar	25.682
Kidnapped (novel)	0
Kiev	10955
Kigali	136.845
Kigo	7711.01
King Arthur	4474.39
King Kong (1933 film)	3422.63
King Kong (2005 film)	5132.09
Kingman Reef	34.8173
Kipchaks in Georgia	0
Kiribati	6347
Kite (bird)	3443.78
Kitsch	396.947
Klinefelter's syndrome	0
Knights of Columbus	272.188
Kochi (India)	1551.44
Kofi Annan	1224.68
Kohlberg's stages of moral development	155.845
Kolkata	9867.01
Konrad Lorenz	1682.56
Kookaburra	289.648
Korea	6379.19
Koryaksky	5135.38
Kosovo	5365.37
Krag-Jørgensen	125.246
Krakatoa	580.862
Krazy Kat	497.252
Krill	1688.05
Krypton	2070.4
Ku Klux Klan	1603.85
Kuala Lumpur	769.235
Kubla Khan	565.606
Kuiper belt	586.627
Kurt Cobain	739.074
Kuru (disease)	54.5094
Kuwait	3086.13
Kuwait City	72.2674
Kylie Minogue	13322.1
Kyoto Protocol	1852.53
Kyrgyzstan	5342.55
Kīlauea	102.74
L. S. Lowry	584.926
LANSA Cuzco Crash	0
La Grande Armée	1077.95
La Paz	139.678
Labor Day Hurricane of 1935	10928.6
Ladysmith Black Mambazo	298.112
Lagos	455.645
Laika	4707.09
Lake Albert	176.214
Lake Baikal	2201.9
Lake Burley Griffin	248.611
Lake Chad	321.043
Lake District	14287.3
Lake Edward	159.78
Lake Kariba	68.5136
Lake Kivu	123.382
Lake Malawi	173.492
Lake Mead	135.146
Lake Powell	269.679
Lake Superior	1609.4
Lake Tahoe	180.666
Lake Tanganyika	985.892
Lake Titicaca	109.56
Lake Toba	1917.24
Lake Turkana	165.853
Lake Victoria	1363.7
Lake Vostok	443.819
Lance Armstrong	872.85
Lancia Flaminia	0
Land (economics)	118.669
Landform	2809.37
Landscape	1020.17
Language	28188.4
Lanthanum	457.349
Laos	4657.21
Laozi	48.6872
Las Palmas de Gran Canaria	7.49163
Las Vegas, Nevada	6015.76
Last Supper	778.957
Latin	97233.3
Latin America	33425.9
Latin alphabet	10690.7
Latvia	6027.66
Laurence Olivier	8925.48
Laurent Fignon	34.1097
Lavender	391.708
Law	50302
Lawn	1050.04
Lawrencium	109.612
Laws in Wales Acts 1535–1542	1376.89
Layla	4.40722
Lead	24365.5
Lead(II) nitrate	0
League of Nations	18597.3
Leaning Tower of Pisa	154.683
Lebanon	31581.3
Leeds	4234.79
Lego	182.158
Leicester	13962.2
Leif Ericson	213.135
Leisure	296.36
Lemon	12006.3
Lemon balm	172.624
Lemon myrtle	36.0396
Lens (anatomy)	532.874
Leo (constellation)	0
Leo Tolstoy	4598.23
Leon Trotsky	2209.61
Leonardo da Vinci	16108.3
Leonhard Euler	6722.55
Lerwick	134.442
Lesotho	7405.72
Lesothosaurus	0
Lettuce	4409.79
Levee failures in Greater New Orleans, 2005	16.5417
Lhasa	244.801
Liberal Democrats	2225.11
Liberal democracy	6303.69
Liberalism	18194.3
Liberia	2908.11
Libertarianism	2212.46
Library	13822.4
Library of Alexandria	1409
Library of Congress	1513.53
Libreville	56.9326
Libya	13265.1
Liechtenstein	8279.32
Life	4731.67
Light	38634.7
Lighthouse of Alexandria	0
Lighting designer	5.76911
Lightning rod	492.036
Lille	3196.52
Lilongwe	48.6156
Lima	1041.87
Limerick	3587.84
Lincoln (automobile)	392.387
Lincoln Town Car	9.22908
Lindisfarne Gospels	207.914
Linear algebra	2493.56
Linguistics	8133.93
Link (The Legend of Zelda)	65.2493
Linnet	0
Linus Pauling	8960.07
Linus Torvalds	5825.15
Linux	15548.2
Lion	37381.8
Lipid	1509.56
Liquid crystal	237.166
Lisbon	15073.4
List of African countries	561.674
List of Archbishops of Canterbury	0
List of Asian countries	607.169
List of Canadian provinces and territories by area	0
List of European Union member states by accession	56.1128
List of European countries	704.166
List of French monarchs	156.286
List of North American countries	369.052
List of Oceanian countries	269.801
List of Prime Ministers of the United Kingdom	279.452
List of South American countries	168.725
List of Test cricket triple centuries	23.2843
List of U.S. states by date of statehood	148.103
List of animal welfare groups	0
List of areas in the National Park System of the United States	22889.2
List of circulating currencies	5069.38
List of countries	27698.3
List of countries by system of government	93740.1
List of elements by name	90784.9
List of essential oils	1930
List of lakes	0
List of members of the Commonwealth of Nations by date joined	0
List of minerals	0
List of monarchs in the British Isles	2016.68
List of particles	15.0325
List of popes	25.8426
List of rivers by length	15174.9
List of sovereign states	29901.1
List of universities in the United Kingdom	63.3551
List of vegetable oils	23632.6
List of world's largest lakes	0
Literacy	4924.68
Literature	25558.1
Lithium	3302.39
Lithium aluminium hydride	136.613
Lithuania	5478.95
Little Women	130.596
Liverpool	11668.1
Liverpool F.C.	485.215
Liverpool and Manchester Railway	1377.35
Llandudno	55.182
Llywelyn the Great	73.028
Local community	0
Local government in the United Kingdom	4164.24
Loch	2050.42
Loch Ness	549.523
Logba language	0
Logic	6196.24
Logistics	3766.51
Lomé	302.192
London	309250
London Bridge	2065.52
London Underground	6971.38
London Zoo	1070.26
London sewerage system	24.8217
Long pepper	15.7826
Long-billed Vulture	0
Long-tailed Tit	0
Longship	190.405
Looney Tunes	1790.38
Lope de Barrientos	0
Lord Voldemort	51.8239
Lord's Resistance Army	59.8307
Los Angeles, California	41951
Lost (TV series)	1327.35
Lothal	217.838
Lottie Dod	0
Louis Armstrong	1427.6
Louis Freeh	0
Louis Jordan	668.851
Louis Pasteur	1881.75
Louis XIV of France	7668.14
Louisville, Kentucky	4310.46
Lovage	13.8184
Love	5869.7
Lucy, Lady Duff-Gordon	10.715
Ludwig Wittgenstein	4837.69
Ludwig van Beethoven	1390.01
Luftwaffe	2949.76
Luminiferous aether	761.994
Lunar eclipse	808.861
Lung cancer	4235.57
Lusaka	158.235
Lutetium	268.463
Luxembourg	4382.08
Luxembourg (city)	526.517
Lyme disease	1198.7
Lyndon B. Johnson	3481.13
Lynton and Barnstaple Railway	4671.92
Lyon	4455.43
M*A*S*H (TV series)	98.3793
M-10001	157.845
M-10003-6	0
M1 motorway	151.489
M25 motorway	1826.33
M6 motorway	245.237
MINI (BMW)	542.587
Macau	4607.51
Macbeth	4710.7
Macbeth of Scotland	359.87
Macedon	585.207
Machu Picchu	577.589
Macintosh	3621.24
Mackenzie River	274.05
Madagascar	30484.4
Madama Butterfly	39.3553
Madrid	15674.6
Magdalena Abakanowicz	0
Magellanic Penguin	1271.3
Maghreb	823.678
Magic:  The Gathering	753.57
Maglev train	729.81
Magma	3273.96
Magna Carta	10505.5
Magnesium	12985.2
Magnet	2182.88
Magnetism	22010.6
Magpie	9266.53
Mahabharata	3102.86
Mahatma Gandhi	18147.6
Mahjong	172.035
Mahmoud Abbas	160.666
Maiasaura	18.7264
Maize	26349.2
Makuria	3201.06
Malaria	9385.51
Malaspina Glacier	0
Malawi	7381.01
Malaysia	44605.5
Malcolm II of Scotland	146.654
Malcolm III of Scotland	665.724
Malcolm X	921.701
Maldives	3414.68
Mali	4842.35
Mallard	225.664
Malta	5492.86
Malwa (Madhya Pradesh)	6547.05
Mamenchisaurus	0
Mammal	108792
Mammoth	2761.38
Mammoth Cave National Park	242.253
Mancala	530.464
Manchester	51127.5
Manchester United F.C.	17499.1
Mandan	54.1978
Manganese	4495.08
Mango	4632.54
Manifest Destiny	10067.6
Manifold	396.136
Manila	2260.91
Manorialism	169.132
Manuel I Komnenos	283.521
Manufacturing	5498.25
Mao Zedong	9447.14
Map projection	126.828
Maputo	315.257
Marc Pugh	0
Marcel Lefebvre	57.0451
Marcel Proust	421.505
Marco Polo	2419.77
Marcus Allen	2.63775
Margaret Sanger	60.6984
Margaret Thatcher	12570.8
Margate	176.858
Margin of error	184.124
Marginated Tortoise	0
Marie Curie	4322.89
Mario	10669.4
Marjoram	323.924
Mark Antony	1146.49
Mark Twain	26257.5
Mark Twain House	21.306
Mark Webber	23.5136
Market	1867.62
Markup language	3102.42
Mars	38172
Mars Exploration Rover	2480.14
Mars Reconnaissance Orbiter	626.555
Marseille	10070.7
Marshall Islands	1380.34
Marshall Plan	2619.32
Martello tower	0
Martin Luther	3049.51
Martin Luther King, Jr.	16936.5
Martin Van Buren	578.088
Martina Navratilova	267.925
Martinique	1533.37
Marvin Gaye	533.55
Marxism	15818.7
Mary I of England	1705.66
Mary I of Scotland	1534.61
Mary II of England	1513.7
Mary Kingsley	0
Mary Seacole	4714.44
Mary Somerville	0
Maseru	1.42207
Mass Rapid Transit (Singapore)	86.3334
Mass media	36546.9
Massospondylus	4769.98
Material properties of diamond	6521.5
Mathematical analysis	3135.78
Mathematics	103407
Matilda of Boulogne	10.7886
Matrix (mathematics)	858.497
Matsuo Bashō	10839.7
Matter	4124.51
Matthew Brettingham	30.7374
Mauna Loa	192.209
Mauritania	1760.37
Mauritius	18041.5
Mausoleum of Maussollos	0
Mauthausen-Gusen concentration camp	4.59168
Max Planck	2312.02
Max Weber	2930.01
Maxwell's equations	4991.1
Maya civilization	14747.4
Maya mythology	394.465
Mayotte	79.516
Mbabane	80.279
McFly (band)	42.386
Meander	1013.46
Measles	1030.31
Measurement	1257.61
Meat	10519.2
Mecca	1059.97
Mechanical work	225.132
Medal of Honor	6184.1
Medicine	40077.8
Medieval commune	2789.09
Medieval literature	1032.99
Medieval music	1317.52
Mediterranean Sea	35338
Mega Man X (character)	0
Meitnerium	48.4771
Mekong	1006.5
Melbourne	31346
Mendelevium	91.4455
Mendip Hills	12172.8
Meningitis	1523.06
Menstrual cycle	477.631
Mentha	1695.49
Menthol	160.358
Mercantilism	1013.5
Mercia	4380.19
Mercury (element)	30284.5
Mercury (planet)	14534.6
Merrimack River	149.237
Merseburg Incantations	74.772
Mesopotamia	31374.2
Mestizo	6909.57
Metal	32892.5
Metallurgy	2887.42
Metamorphic rock	1469.94
Meteor	95.797
Meteor shower	19.1253
Meteorological history of Hurricane Katrina	211.751
Meteorology	6128.79
Metric expansion of space	581.447
Mexico	80153.5
Mexico City	6737.88
Miami, Florida	12753
Michael Faraday	4425.74
Michael Jordan	1506.93
Michael Ramsey	73.6711
Michael Woodruff	0
Michelangelo	5878.74
Michigan State University	6511.55
Mickey Mantle	44.1222
Microraptor	241.148
Microscope	5133.89
Microsoft	10408.4
Microsoft Windows	5963.66
Middle Ages	91905.4
Middle East	47809.8
Midway Atoll	1613.85
Miguel de Cervantes	859.219
Mikhail Gorbachev	4837.95
Milan	13227.5
Miles Davis	593.009
Milgram experiment	62.6243
Military dictatorship	3561.98
Military history of Canada	0
Military history of France	0
Military history of Puerto Rico	34.5651
Military history of the Soviet Union	63.1048
Milk	14718.6
Milk thistle	0
Milkshake	0
Milky Way	8257.03
Millard Fillmore	173.899
Milton Keynes	1144.63
Mind	2275.43
Mineral	22383.8
Ming Dynasty	2732.75
Mini	649.589
Minimum wage	1789.98
Mining	21792.3
Minmi (dinosaur)	13.4318
Minneapolis, Minnesota	7487.68
Minnesota	45356.8
Minoan civilization	5907.9
Minstrel show	618.826
Miocene	4702.11
Mir	1351.14
Mirabilis (plant)	0
Miranda Otto	67.7814
Mississippi River	7801.14
Missouri River	2287.06
Mistle Thrush	51.0855
Mitochondrial Eve	469.121
Mitochondrion	2496.71
Mixed-breed dog	103.302
Mixtape	0
Modern history	712.269
Modernist poetry in English	1341.21
Mogadishu	1146.73
Mohs scale of mineral hardness	2108.47
Moldova	2674.5
Moldovans	34.208
Mole (animal)	520.227
Molybdenum	4719.24
Momentum	1025
Mona Lisa	11324.4
Monaco	2837.52
Monaco Grand Prix	4632.38
Monarchies in the European Union	1524.21
Monarchy	34803.2
Monarda didyma	0
Money	6183.14
Mongol Empire	1764.37
Mongol invasion of Central Asia	0
Mongolia	13096.5
Mongoose	1548
Monkey	1640.63
Monoclonius	87.6418
Monopoly (game)	2094.2
Monrovia	504.366
Montenegro	3711.76
Montevideo	283.135
Montreal	25175.3
Montreal Metro	54.8576
Montserrat	3402.68
Monty Python	8671.05
Moon	62747
Moon landing	567.424
Moore's Law	632.512
Moorgate	0
Moorhen	0
Morecambe Bay	47.0198
Morecambe and Wise	107.038
Moringa oleifera	47.0028
Mormon	397.787
Mormon Trail	17.4792
Morocco	22181.8
Morphine	3182.38
Morris dance	76.0511
Mosaic	2304.83
Moscow	48112.9
Mosque	14465.2
Moss	625.245
Mother Teresa	336.172
Motion (physics)	1095.95
Mount Baker	148.934
Mount Everest	6841.14
Mount Kilimanjaro	1709.55
Mount Nyiragongo	60.6534
Mount Osmond, South Australia	112.975
Mount Pinatubo	4390.85
Mount Rainier	503.954
Mount Rushmore	11024.6
Mount St. Helens	3035.42
Mount Unzen	27.837
Mount Vesuvius	2602.02
Mountain Gorilla	55.4493
Mozambique	16997.8
Mozilla Firefox	4771.78
Mu Arae	209.992
Muhammad	7323.05
Muhammad Ali	44.2464
Muhammad Ali Jinnah	835.449
Muhammad Iqbal	227.248
Muhammad ibn Musa al-Khwarizmi	362.924
Multiculturalism	15820
Multiple sclerosis	5564.25
Multiple sequence alignment	14.4776
Mumbai	20440
Mummy	5352.72
Munich	21860.8
Murray River	1136.24
Muscat, Oman	422.535
Music	20783.4
Music of Albania	0
Music of Antigua and Barbuda	79.8144
Music of Barbados	2026.62
Music of Dominica	1621.15
Music of Hawaii	4608.59
Music of Hungary	138.466
Music of Ireland	640.847
Music of Italy	47.1435
Music of Martinique and Guadeloupe	1626.55
Music of New Zealand	77.5296
Music of Spain	757.409
Music of Thailand	0
Music of Trinidad and Tobago	2035.94
Music of the Bahamas	370.599
Music of the Lesser Antilles	135.493
Music of the United States	30137.7
Music of the trecento	5.62008
Musical instrument	3072.64
Mustard plant	5499.13
Mustard seed	247.452
Muttaburrasaurus	4981.49
Myanmar	17965
Myco-heterotrophy	1.47299
Myers-Briggs Type Indicator	17.7718
Myocardial infarction	5166.61
Mysticism	5319.37
Mythology	13652.6
Myxobolus cerebralis	2998.2
NATO	32491.8
Nadia Comăneci	38.2882
Nagorno-Karabakh War	106.782
Nahuatl language	680.991
Nairobi	2733.98
Naked Mole Rat	0
Names of God in Judaism	186.096
Namibia	10044.1
Nanomedicine	0
Napoleon I of France	26941
Napoleonic Wars	11079.8
Napster	34.8474
Nash equilibrium	261.766
Nashville, Tennessee	5064.39
Natalie Portman	7498.08
Nathu La	52.4847
National Anthem of Russia	3.17152
National Gallery, London	4478.8
National Hockey League	2825.51
National parks of England and Wales	16386
Nationalism	28624.7
Nationality	1397.9
Natural disaster	5431.57
Natural gas	29937.8
Natural selection	10926.5
Nature	29427.3
Nauru	3006.6
Naval Battle of Guadalcanal	11268.2
Navassa Island	1832.98
Nazi Germany	30388.2
Nazism	22918.9
Necktie	326.696
Negros Oriental	0
Neighbours	573.958
Neil Armstrong	23198.9
Neil Young	296.075
Nelson Mandela	6824.23
Nematode	9266.9
Neoclassicism	6272.48
Neodymium	722.608
Neon	1093.51
Nepal	7676.68
Nepenthes rajah	0
Nephron	0
Neptune	3351.57
Neptunium	160.354
Netball	657.242
Netherlands	132776
Netherlands Antilles	1748.06
Neutron	13006.8
New Caledonia	4153.47
New Delhi	666.235
New England Patriots	72.5951
New Forest	766.67
New York City	93180.5
New York City Subway nomenclature	0
New Zealand	152676
New moon	137.051
Newark, New Jersey	3166.13
Newcastle upon Tyne	11273.8
Newmarket	475.57
Newshounds	0
Newspaper	9214.91
Newsround	0
Niagara Falls	1820.49
Nicaragua	17025.7
Niccolò Machiavelli	856.539
Niccolò Paganini	281.329
Niccolò dell'Abbate	0
Nickel	12833.9
Nicobar Long-tailed Macaque	0
Nicolaus Copernicus	6168.99
Niels Bohr	6757.33
Nigella	0
Niger	4578.53
Niger River	974.12
Nigeria	24141.9
Nightingale	1280.87
Nikola Tesla	9183.81
Nikolai Rimsky-Korsakov	101
Nile	10505.8
Nine Million Bicycles	0
Nineteen Eighty-Four	2672.27
Nintendo	28108.4
Nintendo DS	436.429
Nintendo Entertainment System	1774.91
Niobium	983.448
Nirvana (band)	921.02
Nitrification	68.7061
Nitrogen	31442.1
Nitrogen cycle	506.077
Nitrogen fixation	487.593
Niue	241.126
Noam Chomsky	3810.61
Nobel Peace Prize	11359.1
Nobelium	575.081
Nobiin language	2074.59
Norfolk	13705.9
Norfolk Island	1461.03
Norman Borlaug	1090.02
Norman conquest of England	664.162
Norse mythology	10068.4
North Africa	11740.7
North America	128924
North Atlantic oscillation	29.8366
North Korea	6436.36
North Sea	7219.36
North Sea flood of 1953	470.963
North Sea oil	6549.31
Northern Ireland	17196.1
Northern Mariana Islands	1104.73
Northern Pacific Railway	4787.08
Northwest Africa	46.7839
Norway	54166.4
Norwich	4126.47
Nostradamus	206.397
Nottingham	6531.67
Nouakchott	197.015
Novel	28704.3
Novelty (locomotive)	160.142
Nuclear fission	4818.62
Nuclear power	16113.6
Nuclear weapon	24658.6
Number	7847.86
Numismatics	477.632
Nurse sharks	5.49508
Nuthatch	32.2708
Nutmeg	3933.11
Nutrition	7928.87
Oasis (band)	11624.4
Oat	2455.83
Obi-Wan Kenobi	243.114
Ocean	32202.1
Oceania	12666.1
Oceanography	1212.77
Odin	1167.25
Odysseus	4276.53
Odyssey	1457.81
Oenothera	19.5618
Ohm	0
Oil painting	384.238
Oil refinery	6233.91
Oil reservoir	170.76
Okapi	156.302
Olaudah Equiano	19.6964
Old English language	4639.15
Old Nubian language	27.3506
Old Swiss Confederacy	43.3113
Oleg of Novgorod	0
Oligarchy	3944.57
Oligocene	3091.61
Olive oil	78112.7
Oliver Cromwell	7374.59
Oliver Twist	1068.01
Ollanta Humala	17.9424
Olmec	780.279
Olympic Games	68538.4
Oman	2522.17
Omega-3 fatty acid	2112.3
One Flew Over the Cuckoo's Nest (novel)	0
One Foot in the Grave	0
Onion	4503.47
Onion dome	59.5869
Open cluster	564.842
Open source	9266.84
OpenBSD	743.498
OpenOffice.org	5992.95
Opera	52035.3
Oppression	39.4219
Optical fiber	1307.93
Optical microscope	192.917
Optical telescope	88.5931
Opuntia imbricata	0
Opus Dei	135.908
Orbit (anatomy)	28.7897
Orca	7723.22
Order of Canada	369.701
Order of St. Patrick	38.4097
Order of the Bath	1613.35
Order of the Garter	1845.6
Order of the Thistle	1136.53
Ordinal number	233.553
Ordinary differential equation	92.4344
Ordination of women	446.697
Ordovician	1090.69
Oregano	2795.19
Oregon	11012.4
Organism	23022.9
Organization	1148.5
Orion Nebula	896.418
Orkney	7950.25
Ormulum	0
Ornithischia	2188.4
Oroonoko	772.876
Osaka	4374.88
Osama bin Laden	2659.24
Osiris	2222.34
Oslo	2035.66
Osmium	2247.03
Osprey	2183.72
Osteomalacia	0
Ostrich	14251
Oswald of Northumbria	224.243
Ottawa	4452.13
Otter	1694.29
Otto von Bismarck	710.033
Ottoman Empire	37775.3
Ouagadougou	378.491
Outer Hebrides	229.239
Overseas Railroad	18.0201
Oviraptor	1015.3
Owl	25623.4
Oxbow lake	5173.77
Oxford	18440
Oxygen	42115.2
Oxyrhynchus	763.004
Ozone	7203.67
Ozone depletion	1181.37
PONG	573.7
PRR GG1	448.271
PRR M1	0
PSR B1620-26c	16.4018
Pablo Picasso	2566.18
Pac-Man	6522.2
Pachycephalosaurus	4.92808
Pacific Ocean	88414
Painting	20737.5
Pakistan	53000.2
Palace of Westminster	10542.8
Palau	3367.2
Palazzo Pitti	33.731
Paleocene	2231.63
Paleontology	5170.02
Palestinian territories	522.325
Pali Canon	76.7636
Palio di Siena	0
Palladian architecture	10319.1
Palladium	1805.7
Palm oil	7285.93
Palmyra Atoll	773.156
Pan Am Flight 103	435.213
Panama	3875.57
Panama Canal	4075.32
Pandanus	257.26
Papal conclave	343.778
Paprika	407.771
Papua New Guinea	12717.1
Paraguay	970.691
Parasaurolophus	39.4729
Paricutín	0
Paris	163818
Park	6396.97
Parliament of Canada	933.252
Parliament of Malaysia	14407.6
Parliament of the United Kingdom	16844.2
Parliamentary system	24457.7
Parrot	23901.3
Parsley	3087.7
Parsnip	204.312
Parthenon	1904.46
Pashtun people	4996.22
Passenger Pigeon	1289.84
Pat Cash	88.8355
Patna	501.329
Paul Cézanne	626.313
Paul Dirac	11451.3
Paul Kane	277.306
Paul McCartney	7143.34
Paul of Tarsus	1382.88
Pea	5429.39
Peace	3754.65
Peaceful coexistence	17.8557
Peafowl	4669.68
Peak District	12299.3
Peanut	4330.28
Pearl	594.68
Pedagogy	148.355
Pedro del Valle	6.82504
Pelagic zone	335.466
Pellagra	543.615
Pelycosaur	196.966
Pelé	1841.36
Penda of Mercia	305.702
Penguin	12526.3
Pennine Way	4839.59
Pennsylvania Railroad	7321.42
Pentateuch	70.7315
People's Republic of China	90369.7
Pere Marquette 1225	0
Peregrine Falcon	677.507
Perfect number	0
Pericles	1907.58
Periodic table	85587.5
Periodic table (large version)	0
Perl	1222.78
Permian	5943.86
Pernicious anemia	235.933
Persian Empire	19417.7
Persian Gulf	1496.78
Persian literature	670.179
Perth, Western Australia	12069.5
Peru	73561.4
Pete Sampras	6895.3
Peter Grimes	108.354
Peter I of Russia	293.443
Peter Paul Rubens	1020.26
Peterborough Chronicle	525.237
Petroleum	83894.7
Phase (matter)	18496.5
Pheidippides	64.4821
Phenylketonuria	0
Philadelphia	17209.7
Philately	180.335
Philip II of Spain	2850.29
Philippines	39136
Philosophiae Naturalis Principia Mathematica	1460.31
Philosophy	88356.5
Philosophy of mind	11258.1
Phineas Gage	0
Phishing	624.245
Phla-Pherá languages	0
Phoenix (spacecraft)	4772.36
Phoenix Zoo	4606.85
Phonograph cylinder	154.55
Phosphorus	21904.8
Phosphorus tribromide	229.895
Phosphorus trichloride	262.498
Phosphoryl chloride	0
Photography	6276.08
Photon	11837.4
Photosynthesis	14976
Photosynthetic reaction centre	19.0402
Photovoltaic array	0
Physical paradox	40.4637
Physical science	3859.4
Physics	109432
Pi	7137.31
Piano	12186.4
Piccadilly Circus	2433.83
Picts	5769.22
Pied Avocet	0
Pig	5969.51
Pigeon	3463.03
Pigment	9903.36
Pikachu	174.057
Pink Pigeon	34.4635
Pinworm	0
Pitcairn Islands	1791.16
Plains Zebra	10.6909
Planet	73025.9
Planetary habitability	24827
Planetary nebula	5107.41
Plant	102816
Plant cell	0
Plasma (physics)	4264.7
Plate tectonics	16941
Plateosaurus	0
Platinum	8071.95
Plato	19108.3
Platypus	7997.42
Playing card	2118.53
Pleiades (star cluster)	6138.77
Plesiosaur	3995.29
Pliocene	4170.19
Plover	4625.48
Plum	657.238
Pluto	5525.24
Plutonium	13109.8
Plymouth	7024.05
Pneumonia	19274.2
Pochard	4633.03
Podcasting	10857.3
Poetry	48938.4
Poetry of the United States	16576.7
Poison gas in World War I	937.307
Pokémon Trading Card Game	273.89
Poland	55790.7
Polar coordinate system	30.6247
Polar ice cap	304.546
Police	8104.69
Police state	764.557
Polish-Lithuanian Commonwealth	19252.4
Polish-Muscovite War (1605–1618)	119.672
Polish-Soviet War	4532.89
Polish–Muscovite War (1605–1618)	0
Political economy	1475.37
Political integration of India	164.238
Political philosophy	6123.32
Political science	5320.63
Politics	20121.2
Politics of the United Kingdom	714.558
Pollinator	1279.55
Pollinator decline	1100.67
Pollution	16198.7
Polonium	1105.23
Polymerase chain reaction	920.472
Pompeii	1244.59
Pond	1062.76
Pontiac's Rebellion	204.756
Pony	62.5141
Poor Law	176.721
Pop Idol	0
Pope	8108.13
Pope Benedict XVI	3563.01
Pope John Paul II	33553
Pope Pius XII	6586.83
Popular culture	7607.37
Popular culture studies	33.471
Population history of American indigenous peoples	4637.69
Porgy and Bess	2052.16
Port Louis	58.6022
Porto-Novo	264.575
Portsmouth	6918.65
Portugal	59232.2
Portuguese Communist Party	2.97002
Portuguese language	24315.9
Post-glacial rebound	347.899
Postage stamp	2225.9
Postman Pat	0
Potassium	23662.2
Potassium iodide	284.993
Potassium nitrate	209.853
Potato	17251.9
Pottery	2937.62
Poultry	2633.22
Pound sterling	14693.1
Poverty	30599.3
Prague	12109.1
Praia	120.493
Praseodymium	72.9091
Pre-Raphaelite Brotherhood	37.9234
Precambrian	1660.58
Prehistoric man	0
President of the United States	73329.5
Pretoria	1606.81
Pride and Prejudice	185.811
Prime Minister of the United Kingdom	15355.8
Prime number	13690.8
Primula	20.3949
Princeton University	16468.3
Principality	853.313
Printmaking	2373.96
Prion	1645.51
Privy Council of the United Kingdom	970.316
Pro Milone	0
Probability theory	224.047
Programming language	9199.28
Project MKULTRA	0
Project Vanguard	132.18
Promethium	281.566
Propaganda	14330.5
Property	6430.1
Prospecting	9.18072
Prostate cancer	2547.66
Protactinium	495.297
Protein	24382
Protoceratops	20.5516
Proton	658.369
Proxima Centauri	118.218
Psittacosaurus	0
Psychology	17378.8
Pterosaur	1906.57
Ptolemy	12746.5
Publishing	38622.7
Puerto Rico	26993.1
Puffin	177.989
Pumpkin	795.438
Punctuated equilibrium	319.64
Pupil	4130.27
Pygmy Hippopotamus	0
Pyongyang	81.357
Pyotr Ilyich Tchaikovsky	2859.68
Pyramid	2082.23
Pyrite	959.463
Pythagoras	1384.62
Pythagorean theorem	2424.27
Python (programming language)	743.729
Póvoa de Varzim	619.697
Qatar	13655.6
Qin Dynasty	318.019
Qin Shi Huang	1020.96
Qing Dynasty	3278.52
Quantity	83.8392
Quantum chemistry	324.309
Quantum computer	1002.18
Quantum mechanics	18137
Quark	1188.58
Quartz	2020.8
Quatermass and the Pit	158.932
Queen (band)	15418.6
Quetzalcoatl	204.832
Quito	1509.01
Qur'an	2961.57
RER	1.52571
RMS Titanic	7938.95
ROT13	147.535
RSS (file format)	187.219
Rabat	50.5116
Rabbit	3190.59
Rabies	3356.14
Rabindranath Tagore	6748.05
Race	12985.8
Radar	7415.88
Radhanite	0
Radio	35958.1
Radio frequency	1250.93
Radio telescope	530.756
Radish	1120.68
Radium	3530.87
Radon	10365.6
Ragtime	780.137
Rail transport	10432.5
Rail transport in India	141.56
Railway post office	6.38054
Rain	10769.2
Rainbow	2517.44
Rainforest	11771
Rainhill Trials	4648.2
Raising the Flag on Iwo Jima	0
Ralph Nader	1192.7
Rama	346.339
Ramayana	3241.98
Ramesses II	3313.37
Ramsgate	1147.13
Ran (film)	4621.23
Raney nickel	41.851
Raphael	7540.64
Rapping	1096.17
Raven	3904.29
Ray of Light	108.063
Real tennis	232.165
Rebecca Helferich Clarke	0
Recorder	1548.03
Recycling	3544.74
Red Kite	927.962
Red Panda	369.171
Red Sea	8161.64
Red dwarf	383.677
Red giant	1505.38
Red rain in Kerala	266.213
Redshift	2817.58
Redwing	11431.1
Redwood National and State Parks	1131.59
Reed Bunting	0
Reed Warbler	42.4305
Refining	78.5423
Refrigerator car	23472.2
Regent's Park	1194.94
Reggae	27207.7
Reggaeton	1275.85
Religion	43690.4
Religious Society of Friends	13430.9
Rembrandt	1070.88
Renaissance	38857.4
Renaissance music	817.386
Renminbi	406.208
Renormalization	591.971
René Descartes	6872.3
Reptile	28219.8
Republic of China	10110.1
Republic of Ireland	44157.5
Republic of Macedonia	2250.07
Republic of the Congo	1189.07
Restoration comedy	3031.38
Restoration literature	0
Retina	2738.81
Retinol	282.405
Retreat of glaciers since 1850	6545.71
Revised Standard Version	0
Revolution	3508.92
Reza Shah	56.0278
Rhenium	511.164
Rhine	15538.5
Rhode Island	1811.78
Rhodium	10376.6
Rhodium(III) chloride	1.68417
Rhubarb	269.214
Rhythm and blues	1673.15
Rice	32470.5
Richard Feynman	9338.18
Richard Francis Burton	2961.31
Richard I of England	2067.05
Richard II of England	595.973
Richard III (play)	1285.64
Richard III of England	3919.49
Richard Nixon	8806.44
Richard O'Connor	49.9938
Richard Stallman	11879.9
Richard Wagner	17980.5
Richmond, Virginia	8907.74
Riesling	6.31915
Right whale	295.001
Ringed Plover	860.383
Rio Tinto Group	97.4181
Rio de Janeiro	4940.16
River	86502.2
River Severn	8240.67
River Thames	17274.9
Riyadh	170.971
Roald Amundsen	116.445
Roan Antelope	0
