	0.000
Juniper berry	2192.048
Jupiter	19571.096
Jupiter (mythology)	5036.373
Jurassic	14087.850
Juvenile delinquency	25.782
Jyllands-Posten Muhammad cartoons controversy	77.279
Jórvík	0.000
Józef Piłsudski	767.228
Kaffir lime	19.830
Kakapo	1940.576
Kakariki	37.129
Kangaroo	8381.943
Kansas City, Missouri	5885.117
Karachi	1097.204
Kargil War	2870.789
Karikkoselkä	17.031
Karl Benz	344.012
Karl Marx	14391.065
Karl Popper	3930.197
Kashmir region	2581.087
Katana	286.149
Katyn massacre	0.000
Kazakhstan	14025.098
Keira Knightley	181.664
Kenya	50895.556
Kerala	19279.624
Kestrel	0.000
Keurusselkä	97.320
Kevin Spacey	137.556
Khan Wali Khan	2.806
Khartoum	845.733
Khazars	15913.236
Khudai Khidmatgar	25.682
Kidnapped (novel)	0.000
Kiev	10955.029
Kigali	136.845
Kigo	7711.008
King Arthur	4474.394
King Kong (1933 film)	3422.633
King Kong (2005 film)	5132.091
Kingman Reef	34.817
Kipchaks in Georgia	0.000
Kiribati	6346.996
Kite (bird)	3443.780
Kitsch	396.947
Klinefelter's syndrome	0.000
Knights of Columbus	272.188
Kochi (India)	1551.441
Kofi Annan	1224.678
Kohlberg's stages of moral development	155.845
Kolkata	9867.008
Konrad Lorenz	1682.562
Kookaburra	289.648
Korea	6379.190
Koryaksky	5135.376
Kosovo	5365.366
Krag-Jørgensen	125.246
Krakatoa	580.862
Krazy Kat	497.252
Krill	1688.046
Krypton	2070.401
Ku Klux Klan	1603.845
Kuala Lumpur	769.235
Kubla Khan	565.606
Kuiper belt	586.627
Kurt Cobain	739.074
Kuru (disease)	54.509
Kuwait	3086.126
Kuwait City	72.267
Kylie Minogue	13322.059
Kyoto Protocol	1852.531
Kyrgyzstan	5342.548
Kīlauea	102.740
L. S. Lowry	584.926
LANSA Cuzco Crash	0.000
La Grande Armée	1077.950
La Paz	139.678
Labor Day Hurricane of 1935	10928.634
Ladysmith Black Mambazo	298.112
Lagos	455.645
Laika	4707.094
Lake Albert	176.214
Lake Baikal	2201.900
Lake Burley Griffin	248.611
Lake Chad	321.043
Lake District	14287.324
Lake Edward	159.780
Lake Kariba	68.514
Lake Kivu	123.382
Lake Malawi	173.492
Lake Mead	135.146
Lake Powell	269.679
Lake Superior	1609.402
Lake Tahoe	180.666
Lake Tanganyika	985.892
Lake Titicaca	109.560
Lake Toba	1917.244
Lake Turkana	165.853
Lake Victoria	1363.700
Lake Vostok	443.819
Lance Armstrong	872.850
Lancia Flaminia	0.000
Land (economics)	118.669
Landform	2809.371
Landscape	1020.170
Language	28188.400
Lanthanum	457.349
Laos	4657.214
Laozi	48.687
Las Palmas de Gran Canaria	7.492
Las Vegas, Nevada	6015.759
Last Supper	778.957
Latin	97233.332
Latin America	33425.882
Latin alphabet	10690.655
Latvia	6027.660
Laurence Olivier	8925.484
Laurent Fignon	34.110
Lavender	391.708
Law	50301.986
Lawn	1050.039
Lawrencium	109.612
Laws in Wales Acts 1535–1542	1376.889
Layla	4.407
Lead	24365.468
Lead(II) nitrate	0.000
League of Nations	18597.269
Leaning Tower of Pisa	154.683
Lebanon	31581.262
Leeds	4234.791
Lego	182.158
Leicester	13962.170
Leif Ericson	213.135
Leisure	296.360
Lemon	12006.289
Lemon balm	172.624
Lemon myrtle	36.040
Lens (anatomy)	532.874
Leo (constellation)	0.000
Leo Tolstoy	4598.234
Leon Trotsky	2209.608
Leonardo da Vinci	16108.349
Leonhard Euler	6722.554
Lerwick	134.442
Lesotho	7405.722
Lesothosaurus	0.000
Lettuce	4409.793
Levee failures in Greater New Orleans, 2005	16.542
Lhasa	244.801
Liberal Democrats	2225.113
Liberal democracy	6303.688
Liberalism	18194.314
Liberia	2908.114
Libertarianism	2212.458
Library	13822.444
Library of Alexandria	1409.004
Library of Congress	1513.530
Libreville	56.933
Libya	13265.137
Liechtenstein	8279.321
Life	4731.673
Light	38634.693
Lighthouse of Alexandria	0.000
Lighting designer	5.769
Lightning rod	492.036
Lille	3196.520
Lilongwe	48.616
Lima	1041.872
Limerick	3587.837
Lincoln (automobile)	392.387
Lincoln Town Car	9.229
Lindisfarne Gospels	207.914
Linear algebra	2493.561
Linguistics	8133.934
Link (The Legend of Zelda)	65.249
Linnet	0.000
Linus Pauling	8960.074
Linus Torvalds	5825.154
Linux	15548.169
Lion	37381.778
Lipid	1509.559
Liquid crystal	237.166
Lisbon	15073.392
List of African countries	561.674
List of Archbishops of Canterbury	0.000
List of Asian countries	607.169
List of Canadian provinces and territories by area	0.000
List of European Union member states by accession	56.113
List of European countries	704.166
List of French monarchs	156.286
List of North American countries	369.052
List of Oceanian countries	269.801
List of Prime Ministers of the United Kingdom	279.452
List of South American countries	168.725
List of Test cricket triple centuries	23.284
List of U.S. states by date of statehood	148.103
List of animal welfare groups	0.000
List of areas in the National Park System of the United States	22889.200
List of circulating currencies	5069.381
List of countries	27698.304
List of countries by system of government	93740.076
List of elements by name	90784.925
List of essential oils	1929.995
List of lakes	0.000
List of members of the Commonwealth of Nations by date joined	0.000
List of minerals	0.000
List of monarchs in the British Isles	2016.677
List of particles	15.033
List of popes	25.843
List of rivers by length	15174.862
List of sovereign states	29901.097
List of universities in the United Kingdom	63.355
List of vegetable oils	23632.645
List of world's largest lakes	0.000
Literacy	4924.678
Literature	25558.137
Lithium	3302.385
Lithium aluminium hydride	136.613
Lithuania	5478.948
Little Women	130.596
Liverpool	11668.095
Liverpool F.C.	485.215
Liverpool and Manchester Railway	1377.351
Llandudno	55.182
Llywelyn the Great	73.028
Local community	0.000
Local government in the United Kingdom	4164.237
Loch	2050.418
Loch Ness	549.523
Logba language	0.000
Logic	6196.244
Logistics	3766.515
Lomé	302.192
London	309249.564
London Bridge	2065.515
London Underground	6971.384
London Zoo	1070.258
London sewerage system	24.822
Long pepper	15.783
Long-billed Vulture	0.000
Long-tailed Tit	0.000
Longship	190.405
Looney Tunes	1790.381
Lope de Barrientos	0.000
Lord Voldemort	51.824
Lord's Resistance Army	59.831
Los Angeles, California	41950.972
Lost (TV series)	1327.348
Lothal	217.838
Lottie Dod	0.000
Louis Armstrong	1427.597
Louis Freeh	0.000
Louis Jordan	668.851
Louis Pasteur	1881.751
Louis XIV of France	7668.142
Louisville, Kentucky	4310.459
Lovage	13.818
Love	5869.701
Lucy, Lady Duff-Gordon	10.715
Ludwig Wittgenstein	4837.694
Ludwig van Beethoven	1390.013
Luftwaffe	2949.757
Luminiferous aether	761.994
Lunar eclipse	808.861
Lung cancer	4235.569
Lusaka	158.235
Lutetium	268.463
Luxembourg	4382.084
Luxembourg (city)	526.517
Lyme disease	1198.701
Lyndon B. Johnson	3481.128
Lynton and Barnstaple Railway	4671.920
Lyon	4455.432
M*A*S*H (TV series)	98.379
M-10001	157.845
M-10003-6	0.000
M1 motorway	151.489
M25 motorway	1826.327
M6 motorway	245.237
MINI (BMW)	542.587
Macau	4607.515
Macbeth	4710.704
Macbeth of Scotland	359.870
Macedon	585.207
Machu Picchu	577.589
Macintosh	3621.243
Mackenzie River	274.050
Madagascar	30484.417
Madama Butterfly	39.355
Madrid	15674.573
Magdalena Abakanowicz	0.000
Magellanic Penguin	1271.298
Maghreb	823.678
Magic:  The Gathering	753.570
Maglev train	729.810
Magma	3273.963
Magna Carta	10505.515
Magnesium	12985.195
Magnet	2182.885
Magnetism	22010.567
Magpie	9266.527
Mahabharata	3102.860
Mahatma Gandhi	18147.614
Mahjong	172.035
Mahmoud Abbas	160.666
Maiasaura	18.726
Maize	26349.223
Makuria	3201.065
Malaria	9385.508
Malaspina Glacier	0.000
Malawi	7381.005
Malaysia	44605.495
Malcolm II of Scotland	146.654
Malcolm III of Scotland	665.724
Malcolm X	921.701
Maldives	3414.678
Mali	4842.349
Mallard	225.664
Malta	5492.855
Malwa (Madhya Pradesh)	6547.048
Mamenchisaurus	0.000
Mammal	108792.190
Mammoth	2761.382
Mammoth Cave National Park	242.253
Mancala	530.464
Manchester	51127.480
Manchester United F.C.	17499.122
Mandan	54.198
Manganese	4495.076
Mango	4632.541
Manifest Destiny	10067.558
Manifold	396.136
Manila	2260.910
Manorialism	169.132
Manuel I Komnenos	283.521
Manufacturing	5498.246
Mao Zedong	9447.140
Map projection	126.828
Maputo	315.257
Marc Pugh	0.000
Marcel Lefebvre	57.045
Marcel Proust	421.505
Marco Polo	2419.770
Marcus Allen	2.638
Margaret Sanger	60.698
Margaret Thatcher	12570.798
Margate	176.858
Margin of error	184.124
Marginated Tortoise	0.000
Marie Curie	4322.890
Mario	10669.376
Marjoram	323.924
Mark Antony	1146.486
Mark Twain	26257.452
Mark Twain House	21.306
Mark Webber	23.514
Market	1867.621
Markup language	3102.418
Mars	38171.959
Mars Exploration Rover	2480.140
Mars Reconnaissance Orbiter	626.555
Marseille	10070.727
Marshall Islands	1380.343
Marshall Plan	2619.320
Martello tower	0.000
Martin Luther	3049.509
Martin Luther King, Jr.	16936.518
Martin Van Buren	578.088
Martina Navratilova	267.925
Martinique	1533.373
Marvin Gaye	533.550
Marxism	15818.739
Mary I of England	1705.661
Mary I of Scotland	1534.611
Mary II of England	1513.703
Mary Kingsley	0.000
Mary Seacole	4714.444
Mary Somerville	0.000
Maseru	1.422
Mass Rapid Transit (Singapore)	86.333
Mass media	36546.926
Massospondylus	4769.980
Material properties of diamond	6521.498
Mathematical analysis	3135.784
Mathematics	103406.812
Matilda of Boulogne	10.789
Matrix (mathematics)	858.497
Matsuo Bashō	10839.748
Matter	4124.512
Matthew Brettingham	30.737
Mauna Loa	192.209
Mauritania	1760.366
Mauritius	18041.545
Mausoleum of Maussollos	0.000
Mauthausen-Gusen concentration camp	4.592
Max Planck	2312.025
Max Weber	2930.014
Maxwell's equations	4991.104
Maya civilization	14747.381
Maya mythology	394.465
Mayotte	79.516
Mbabane	80.279
McFly (band)	42.386
Meander	1013.456
Measles	1030.314
Measurement	1257.611
Meat	10519.154
Mecca	1059.968
Mechanical work	225.132
Medal of Honor	6184.102
Medicine	40077.795
Medieval commune	2789.092
Medieval literature	1032.988
Medieval music	1317.524
Mediterranean Sea	35337.977
Mega Man X (character)	0.000
Meitnerium	48.477
Mekong	1006.498
Melbourne	31346.034
Mendelevium	91.446
Mendip Hills	12172.846
Meningitis	1523.061
Menstrual cycle	477.631
Mentha	1695.492
Menthol	160.358
Mercantilism	1013.498
Mercia	4380.190
Mercury (element)	30284.511
Mercury (planet)	14534.583
Merrimack River	149.237
Merseburg Incantations	74.772
Mesopotamia	31374.244
Mestizo	6909.572
Metal	32892.466
Metallurgy	2887.422
Metamorphic rock	1469.938
Meteor	95.797
Meteor shower	19.125
Meteorological history of Hurricane Katrina	211.751
Meteorology	6128.789
Metric expansion of space	581.447
Mexico	80153.545
Mexico City	6737.876
Miami, Florida	12753.038
Michael Faraday	4425.744
Michael Jordan	1506.928
Michael Ramsey	73.671
Michael Woodruff	0.000
Michelangelo	5878.741
Michigan State University	6511.555
Mickey Mantle	44.122
Microraptor	241.148
Microscope	5133.895
Microsoft	10408.419
Microsoft Windows	5963.664
Middle Ages	91905.384
Middle East	47809.767
Midway Atoll	1613.851
Miguel de Cervantes	859.219
Mikhail Gorbachev	4837.946
Milan	13227.479
Miles Davis	593.009
Milgram experiment	62.624
Military dictatorship	3561.984
Military history of Canada	0.000
Military history of France	0.000
Military history of Puerto Rico	34.565
Military history of the Soviet Union	63.105
Milk	14718.642
Milk thistle	0.000
Milkshake	0.000
Milky Way	8257.029
Millard Fillmore	173.899
Milton Keynes	1144.634
Mind	2275.434
Mineral	22383.787
Ming Dynasty	2732.747
Mini	649.589
Minimum wage	1789.977
Mining	21792.338
Minmi (dinosaur)	13.432
Minneapolis, Minnesota	7487.676
Minnesota	45356.834
Minoan civilization	5907.899
Minstrel show	618.826
Miocene	4702.107
Mir	1351.137
Mirabilis (plant)	0.000
Miranda Otto	67.781
Mississippi River	7801.143
Missouri River	2287.064
Mistle Thrush	51.086
Mitochondrial Eve	469.121
Mitochondrion	2496.712
Mixed-breed dog	103.302
Mixtape	0.000
Modern history	712.269
Modernist poetry in English	1341.213
Mogadishu	1146.734
Mohs scale of mineral hardness	2108.474
Moldova	2674.502
Moldovans	34.208
Mole (animal)	520.227
Molybdenum	4719.235
Momentum	1025.000
Mona Lisa	11324.412
Monaco	2837.518
Monaco Grand Prix	4632.382
Monarchies in the European Union	1524.208
Monarchy	34803.205
Monarda didyma	0.000
Money	6183.142
Mongol Empire	1764.373
Mongol invasion of Central Asia	0.000
Mongolia	13096.538
Mongoose	1548.002
Monkey	1640.634
Monoclonius	87.642
Monopoly (game)	2094.203
Monrovia	504.366
Montenegro	3711.762
Montevideo	283.135
Montreal	25175.300
Montreal Metro	54.858
Montserrat	3402.681
Monty Python	8671.053
Moon	62747.030
Moon landing	567.424
Moore's Law	632.512
Moorgate	0.000
Moorhen	0.000
Morecambe Bay	47.020
Morecambe and Wise	107.038
Moringa oleifera	47.003
Mormon	397.787
Mormon Trail	17.479
Morocco	22181.791
Morphine	3182.381
Morris dance	76.051
Mosaic	2304.834
Moscow	48112.940
Mosque	14465.167
Moss	625.245
Mother Teresa	336.172
Motion (physics)	1095.953
Mount Baker	148.934
Mount Everest	6841.140
Mount Kilimanjaro	1709.545
Mount Nyiragongo	60.653
Mount Osmond, South Australia	112.975
Mount Pinatubo	4390.847
Mount Rainier	503.954
Mount Rushmore	11024.591
Mount St. Helens	3035.418
Mount Unzen	27.837
Mount Vesuvius	2602.024
Mountain Gorilla	55.449
Mozambique	16997.844
Mozilla Firefox	4771.783
Mu Arae	209.992
Muhammad	7323.052
Muhammad Ali	44.246
Muhammad Ali Jinnah	835.449
Muhammad Iqbal	227.248
Muhammad ibn Musa al-Khwarizmi	362.924
Multiculturalism	15820.005
Multiple sclerosis	5564.246
Multiple sequence alignment	14.478
Mumbai	20439.999
Mummy	5352.721
Munich	21860.785
Murray River	1136.238
Muscat, Oman	422.535
Music	20783.371
Music of Albania	0.000
Music of Antigua and Barbuda	79.814
Music of Barbados	2026.616
Music of Dominica	1621.152
Music of Hawaii	4608.589
Music of Hungary	138.466
Music of Ireland	640.847
Music of Italy	47.144
Music of Martinique and Guadeloupe	1626.553
Music of New Zealand	77.530
Music of Spain	757.409
Music of Thailand	0.000
Music of Trinidad and Tobago	2035.936
Music of the Bahamas	370.599
Music of the Lesser Antilles	135.493
Music of the United States	30137.739
Music of the trecento	5.620
Musical instrument	3072.636
Mustard plant	5499.126
Mustard seed	247.452
Muttaburrasaurus	4981.488
Myanmar	17964.951
Myco-heterotrophy	1.473
Myers-Briggs Type Indicator	17.772
Myocardial infarction	5166.605
Mysticism	5319.368
Mythology	13652.619
Myxobolus cerebralis	2998.199
NATO	32491.811
Nadia Comăneci	38.288
Nagorno-Karabakh War	106.782
Nahuatl language	680.991
Nairobi	2733.984
Naked Mole Rat	0.000
Names of God in Judaism	186.096
Namibia	10044.066
Nanomedicine	0.000
Napoleon I of France	26941.013
Napoleonic Wars	11079.846
Napster	34.847
Nash equilibrium	261.766
Nashville, Tennessee	5064.390
Natalie Portman	7498.080
Nathu La	52.485
National Anthem of Russia	3.172
National Gallery, London	4478.802
National Hockey League	2825.508
National parks of England and Wales	16385.967
Nationalism	28624.674
Nationality	1397.903
Natural disaster	5431.568
Natural gas	29937.822
Natural selection	10926.506
Nature	29427.319
Nauru	3006.604
Naval Battle of Guadalcanal	11268.167
Navassa Island	1832.975
Nazi Germany	30388.222
Nazism	22918.942
Necktie	326.696
Negros Oriental	0.000
Neighbours	573.958
Neil Armstrong	23198.944
Neil Young	296.075
Nelson Mandela	6824.227
Nematode	9266.898
Neoclassicism	6272.484
Neodymium	722.608
Neon	1093.514
Nepal	7676.679
Nepenthes rajah	0.000
Nephron	0.000
Neptune	3351.565
Neptunium	160.354
Netball	657.242
Netherlands	132776.073
Netherlands Antilles	1748.063
Neutron	13006.818
New Caledonia	4153.474
New Delhi	666.235
New England Patriots	72.595
New Forest	766.670
New York City	93180.530
New York City Subway nomenclature	0.000
New Zealand	152676.355
New moon	137.051
Newark, New Jersey	3166.133
Newcastle upon Tyne	11273.777
Newmarket	475.570
Newshounds	0.000
Newspaper	9214.905
Newsround	0.000
Niagara Falls	1820.494
Nicaragua	17025.676
Niccolò Machiavelli	856.539
Niccolò Paganini	281.329
Niccolò dell'Abbate	0.000
Nickel	12833.881
Nicobar Long-tailed Macaque	0.000
Nicolaus Copernicus	6168.989
Niels Bohr	6757.332
Nigella	0.000
Niger	4578.528
Niger River	974.120
Nigeria	24141.880
Nightingale	1280.868
Nikola Tesla	9183.812
Nikolai Rimsky-Korsakov	101.000
Nile	10505.803
Nine Million Bicycles	0.000
Nineteen Eighty-Four	2672.270
Nintendo	28108.391
Nintendo DS	436.429
Nintendo Entertainment System	1774.908
Niobium	983.448
Nirvana (band)	921.020
Nitrification	68.706
Nitrogen	31442.107
Nitrogen cycle	506.077
Nitrogen fixation	487.593
Niue	241.126
Noam Chomsky	3810.611
Nobel Peace Prize	11359.104
Nobelium	575.081
Nobiin language	2074.589
Norfolk	13705.893
Norfolk Island	1461.030
Norman Borlaug	1090.017
Norman conquest of England	664.162
Norse mythology	10068.377
North Africa	11740.678
North America	128923.741
North Atlantic oscillation	29.837
North Korea	6436.363
North Sea	7219.358
North Sea flood of 1953	470.963
North Sea oil	6549.305
Northern Ireland	17196.120
Northern Mariana Islands	1104.734
Northern Pacific Railway	4787.077
Northwest Africa	46.784
Norway	54166.391
Norwich	4126.467
Nostradamus	206.397
Nottingham	6531.672
Nouakchott	197.015
Novel	28704.310
Novelty (locomotive)	160.142
Nuclear fission	4818.623
Nuclear power	16113.632
Nuclear weapon	24658.560
Number	7847.861
Numismatics	477.632
Nurse sharks	5.495
Nuthatch	32.271
Nutmeg	3933.114
Nutrition	7928.870
Oasis (band)	11624.434
Oat	2455.833
Obi-Wan Kenobi	243.114
Ocean	32202.098
Oceania	12666.149
Oceanography	1212.767
Odin	1167.251
Odysseus	4276.526
Odyssey	1457.807
Oenothera	19.562
Ohm	0.000
Oil painting	384.238
Oil refinery	6233.909
Oil reservoir	170.760
Okapi	156.302
Olaudah Equiano	19.696
Old English language	4639.150
Old Nubian language	27.351
Old Swiss Confederacy	43.311
Oleg of Novgorod	0.000
Oligarchy	3944.570
Oligocene	3091.605
Olive oil	78112.684
Oliver Cromwell	7374.591
Oliver Twist	1068.005
Ollanta Humala	17.942
Olmec	780.279
Olympic Games	68538.385
Oman	2522.166
Omega-3 fatty acid	2112.295
One Flew Over the Cuckoo's Nest (novel)	0.000
One Foot in the Grave	0.000
Onion	4503.466
Onion dome	59.587
Open cluster	564.842
Open source	9266.844
OpenBSD	743.498
OpenOffice.org	5992.954
Opera	52035.314
Oppression	39.422
Optical fiber	1307.930
Optical microscope	192.917
Optical telescope	88.593
Opuntia imbricata	0.000
Opus Dei	135.908
Orbit (anatomy)	28.790
Orca	7723.219
Order of Canada	369.701
Order of St. Patrick	38.410
Order of the Bath	1613.355
Order of the Garter	1845.605
Order of the Thistle	1136.534
Ordinal number	233.553
Ordinary differential equation	92.434
Ordination of women	446.697
Ordovician	1090.689
Oregano	2795.187
Oregon	11012.410
Organism	23022.924
Organization	1148.504
Orion Nebula	896.418
Orkney	7950.250
Ormulum	0.000
Ornithischia	2188.404
Oroonoko	772.876
Osaka	4374.881
Osama bin Laden	2659.237
Osiris	2222.339
Oslo	2035.662
Osmium	2247.028
Osprey	2183.722
Osteomalacia	0.000
Ostrich	14250.959
Oswald of Northumbria	224.243
Ottawa	4452.127
Otter	1694.286
Otto von Bismarck	710.033
Ottoman Empire	37775.272
Ouagadougou	378.491
Outer Hebrides	229.239
Overseas Railroad	18.020
Oviraptor	1015.296
Owl	25623.357
Oxbow lake	5173.769
Oxford	18439.959
Oxygen	42115.199
Oxyrhynchus	763.004
Ozone	7203.667
Ozone depletion	1181.367
PONG	573.700
PRR GG1	448.271
PRR M1	0.000
PSR B1620-26c	16.402
Pablo Picasso	2566.184
Pac-Man	6522.199
Pachycephalosaurus	4.928
Pacific Ocean	88413.990
Painting	20737.542
Pakistan	53000.205
Palace of Westminster	10542.843
Palau	3367.197
Palazzo Pitti	33.731
Paleocene	2231.626
Paleontology	5170.019
Palestinian territories	522.325
Pali Canon	76.764
Palio di Siena	0.000
Palladian architecture	10319.095
Palladium	1805.699
Palm oil	7285.934
Palmyra Atoll	773.156
Pan Am Flight 103	435.213
Panama	3875.567
Panama Canal	4075.320
Pandanus	257.260
Papal conclave	343.778
Paprika	407.771
Papua New Guinea	12717.140
Paraguay	970.691
Parasaurolophus	39.473
Paricutín	0.000
Paris	163818.376
Park	6396.969
Parliament of Canada	933.252
Parliament of Malaysia	14407.625
Parliament of the United Kingdom	16844.225
Parliamentary system	24457.685
Parrot	23901.338
Parsley	3087.702
Parsnip	204.312
Parthenon	1904.460
Pashtun people	4996.219
Passenger Pigeon	1289.837
Pat Cash	88.835
Patna	501.329
Paul Cézanne	626.313
Paul Dirac	11451.298
Paul Kane	277.306
Paul McCartney	7143.336
Paul of Tarsus	1382.881
Pea	5429.388
Peace	3754.648
Peaceful coexistence	17.856
Peafowl	4669.683
Peak District	12299.259
Peanut	4330.276
Pearl	594.680
Pedagogy	148.355
Pedro del Valle	6.825
Pelagic zone	335.466
Pellagra	543.615
Pelycosaur	196.966
Pelé	1841.355
Penda of Mercia	305.702
Penguin	12526.307
Pennine Way	4839.588
Pennsylvania Railroad	7321.424
Pentateuch	70.731
People's Republic of China	90369.670
Pere Marquette 1225	0.000
Peregrine Falcon	677.507
Perfect number	0.000
Pericles	1907.582
Periodic table	85587.547
Periodic table (large version)	0.000
Perl	1222.777
Permian	5943.864
Pernicious anemia	235.933
Persian Empire	19417.725
Persian Gulf	1496.782
Persian literature	670.179
Perth, Western Australia	12069.497
Peru	73561.354
Pete Sampras	6895.296
Peter Grimes	108.354
Peter I of Russia	293.443
Peter Paul Rubens	1020.259
Peterborough Chronicle	525.237
Petroleum	83894.715
Phase (matter)	18496.468
Pheidippides	64.482
Phenylketonuria	0.000
Philadelphia	17209.653
Philately	180.335
Philip II of Spain	2850.291
Philippines	39136.035
Philosophiae Naturalis Principia Mathematica	1460.313
Philosophy	88356.475
Philosophy of mind	11258.066
Phineas Gage	0.000
Phishing	624.245
Phla-Pherá languages	0.000
Phoenix (spacecraft)	4772.357
Phoenix Zoo	4606.846
Phonograph cylinder	154.550
Phosphorus	21904.786
Phosphorus tribromide	229.895
Phosphorus trichloride	262.498
Phosphoryl chloride	0.000
Photography	6276.082
Photon	11837.436
Photosynthesis	14976.014
Photosynthetic reaction centre	19.040
Photovoltaic array	0.000
Physical paradox	40.464
Physical science	3859.400
Physics	109431.660
Pi	7137.313
Piano	12186.393
Piccadilly Circus	2433.832
Picts	5769.225
Pied Avocet	0.000
Pig	5969.506
Pigeon	3463.034
Pigment	9903.355
Pikachu	174.057
Pink Pigeon	34.464
Pinworm	0.000
Pitcairn Islands	1791.156
Plains Zebra	10.691
Planet	73025.935
Planetary habitability	24826.983
Planetary nebula	5107.406
Plant	102816.107
Plant cell	0.000
Plasma (physics)	4264.695
Plate tectonics	16940.954
Plateosaurus	0.000
Platinum	8071.954
Plato	19108.297
Platypus	7997.422
Playing card	2118.530
Pleiades (star cluster)	6138.771
Plesiosaur	3995.288
Pliocene	4170.187
Plover	4625.477
Plum	657.238
Pluto	5525.243
Plutonium	13109.816
Plymouth	7024.049
Pneumonia	19274.197
Pochard	4633.031
Podcasting	10857.277
Poetry	48938.438
Poetry of the United States	16576.716
Poison gas in World War I	937.307
Pokémon Trading Card Game	273.890
Poland	55790.668
Polar coordinate system	30.625
Polar ice cap	304.546
Police	8104.690
Police state	764.557
Polish-Lithuanian Commonwealth	19252.431
Polish-Muscovite War (1605–1618)	119.672
Polish-Soviet War	4532.887
Polish–Muscovite War (1605–1618)	0.000
Political economy	1475.370
Political integration of India	164.238
Political philosophy	6123.323
Political science	5320.627
Politics	20121.204
Politics of the United Kingdom	714.558
Pollinator	1279.551
Pollinator decline	1100.667
Pollution	16198.698
Polonium	1105.235
Polymerase chain reaction	920.472
Pompeii	1244.593
Pond	1062.762
Pontiac's Rebellion	204.756
Pony	62.514
Poor Law	176.721
Pop Idol	0.000
Pope	8108.125
Pope Benedict XVI	3563.015
Pope John Paul II	33552.956
Pope Pius XII	6586.829
Popular culture	7607.367
Popular culture studies	33.471
Population history of American indigenous peoples	4637.694
Porgy and Bess	2052.160
Port Louis	58.602
Porto-Novo	264.575
Portsmouth	6918.654
Portugal	59232.162
Portuguese Communist Party	2.970
Portuguese language	24315.915
Post-glacial rebound	347.899
Postage stamp	2225.902
Postman Pat	0.000
Potassium	23662.153
Potassium iodide	284.993
Potassium nitrate	209.853
Potato	17251.903
Pottery	2937.622
Poultry	2633.224
Pound sterling	14693.131
Poverty	30599.255
Prague	12109.110
Praia	120.493
Praseodymium	72.909
Pre-Raphaelite Brotherhood	37.923
Precambrian	1660.582
Prehistoric man	0.000
President of the United States	73329.452
Pretoria	1606.812
Pride and Prejudice	185.811
Prime Minister of the United Kingdom	15355.776
Prime number	13690.830
Primula	20.395
Princeton University	16468.305
Principality	853.313
Printmaking	2373.959
Prion	1645.511
Privy Council of the United Kingdom	970.316
Pro Milone	0.000
Probability theory	224.047
Programming language	9199.277
Project MKULTRA	0.000
Project Vanguard	132.180
Promethium	281.566
Propaganda	14330.503
Property	6430.099
Prospecting	9.181
Prostate cancer	2547.665
Protactinium	495.297
Protein	24382.047
Protoceratops	20.552
Proton	658.369
Proxima Centauri	118.218
Psittacosaurus	0.000
Psychology	17378.792
Pterosaur	1906.574
Ptolemy	12746.476
Publishing	38622.732
Puerto Rico	26993.103
Puffin	177.989
Pumpkin	795.438
Punctuated equilibrium	319.640
Pupil	4130.267
Pygmy Hippopotamus	0.000
Pyongyang	81.357
Pyotr Ilyich Tchaikovsky	2859.677
Pyramid	2082.227
Pyrite	959.463
Pythagoras	1384.615
Pythagorean theorem	2424.275
Python (programming language)	743.729
Póvoa de Varzim	619.697
Qatar	13655.558
Qin Dynasty	318.019
Qin Shi Huang	1020.963
Qing Dynasty	3278.524
Quantity	83.839
Quantum chemistry	324.309
Quantum computer	1002.180
Quantum mechanics	18136.984
Quark	1188.577
Quartz	2020.801
Quatermass and the Pit	158.932
Queen (band)	15418.598
Quetzalcoatl	204.832
Quito	1509.005
Qur'an	2961.571
RER	1.526
RMS Titanic	7938.949
ROT13	147.535
RSS (file format)	187.219
Rabat	50.512
Rabbit	3190.592
Rabies	3356.141
Rabindranath Tagore	6748.052
Race	12985.802
Radar	7415.882
Radhanite	0.000
Radio	35958.100
Radio frequency	1250.931
Radio telescope	530.756
Radish	1120.682
Radium	3530.866
Radon	10365.609
Ragtime	780.137
Rail transport	10432.465
Rail transport in India	141.560
Railway post office	6.381
Rain	10769.230
Rainbow	2517.441
Rainforest	11771.017
Rainhill Trials	4648.200
Raising the Flag on Iwo Jima	0.000
Ralph Nader	1192.702
Rama	346.339
Ramayana	3241.976
Ramesses II	3313.371
Ramsgate	1147.133
Ran (film)	4621.233
Raney nickel	41.851
Raphael	7540.640
Rapping	1096.171
Raven	3904.291
Ray of Light	108.063
Real tennis	232.165
Rebecca Helferich Clarke	0.000
Recorder	1548.026
Recycling	3544.735
Red Kite	927.962
Red Panda	369.171
Red Sea	8161.639
Red dwarf	383.677
Red giant	1505.382
Red rain in Kerala	266.213
Redshift	2817.578
Redwing	11431.058
Redwood National and State Parks	1131.587
Reed Bunting	0.000
Reed Warbler	42.430
Refining	78.542
Refrigerator car	23472.193
Regent's Park	1194.940
Reggae	27207.748
Reggaeton	1275.854
Religion	43690.394
Religious Society of Friends	13430.923
Rembrandt	1070.877
Renaissance	38857.419
Renaissance music	817.386
Renminbi	406.208
Renormalization	591.971
